"Company ID","Name","Company Domain Name","Company owner","City","Country/Region","Sistema de Ensino","State/Region","Associated Deals","Associated Company ID","Associated Company"
"5285538212","COLÉGIO IMPACTO PORANGATU","","","Centro","","COC (Arco)","GO","1.0","",""
"5285553997","COLÉGIO INTEGRADO JEAN PIAGET","","","Jacutinga","","COC (Arco)","MG","","",""
"5285554001","COLÉGIO INTEGRADO SÃO FRANCISCO","","","Mogi Guaçu","","COC (Arco)","SP","1.0","",""
"5285520252","COLÉGIO INTERATIVO - COIN","","","Pindamonhangaba","","COC (Arco)","SP","1.0","",""
"5285549000","COLÉGIO INTERATIVO CATANDUVA","","","Catanduva","","COC (Arco)","SP","1.0","",""
"5285533385","COLÉGIO INTERATIVO DE CRUZEIRO","","","Cruzeiro","","COC (Arco)","SP","","",""
"5285528549","COLÉGIO IREI","","","São Paulo","","COC (Arco)","SP","","",""
"5285545161","COLÉGIO LANTAGI","","","Registro","","COC (Arco)","SP","1.0","",""
"5285549003","COLÉGIO LE PERINI","","Karen Bustamante","Indaiatuba","","COC (Arco)","SP","1.0","",""
"5285533400","COLÉGIO LEONARDO DA VINCI","","","Patos de Minas","","COC (Arco)","MG","1.0","",""
"5285545148","COLÉGIO LITTERATUS","","","Itatiba","","COC (Arco)","SP","1.0","",""
"5285533391","COLÉGIO LUMINAR","","","Jaguarari","","COC (Arco)","BA","","",""
"5285515708","COLÉGIO MALTA","","Karen Bustamante","Lagoa da Prata","","COC (Arco)","MG","1.0","",""
"5285627622","COLÉGIO MARCELINO BERALDO","","","Campina Grande do Sul","","COC (Arco)","PR","1.0","",""
"5285552696","COLÉGIO JR","","","Santa Maria da Vitória","","COC (Arco)","BA","1.0","",""
"5284588289","COLÉGIO KOLPING","","","Ribeira do Pombal","","COC (Arco)","BA","1.0","",""
"5285541962","COLÉGIO LA SALLE DE BOTUCATU","","Karen Bustamante","Botucatu","","COC (Arco)","SP","1.0","",""
"5285636020","COLÉGIO MASTERBABY VOTORANTIM","","","Votorantim","","COC (Arco)","SP","1.0","",""
"5285629505","COLÉGIO MB","","","Santo André","","COC (Arco)","SP","1.0","",""
"5285545150","COLÉGIO MEDIANEIRA","","","Barra do Piraí","","COC (Arco)","RJ","1.0","",""
"5285627628","COLÉGIO MEIRELLES LEME","","Karen Bustamante","São Paulo","","COC (Arco)","SP","1.0","",""
"5285528534","COLÉGIO MEU CAMINHO","","","Espírito Santo do Pinhal","","COC (Arco)","SP","1.0","",""
"5285546860","COLÉGIO MILLENIUM","","","Conceição do Jacuípe","","COC (Arco)","BA","","",""
"5285552701","COLÉGIO MONTEIRO LOBATO","","","Santa Helena de Goiás","","COC (Arco)","GO","1.0","",""
"5285518778","COLÉGIO MONTEIRO LOBATO JAGUAQUARA","","","Jaguaquara","","COC (Arco)","BA","1.0","",""
"5285528547","COLÉGIO MONTEIRO LOBATO NAZARÉ","","","Nazaré","","COC (Arco)","BA","1.0","",""
"5285615675","COLÉGIO MONTEIRO LOBATO PATROCÍNIO","","Karen Bustamante","Patrocínio","","COC (Arco)","MG","1.0","",""
"5285534738","COLÉGIO MONTEIRO LOBATO PERUÍBE","","","Peruíbe","","COC (Arco)","SP","1.0","",""
"5285517348","COLÉGIO MORAES","","","Americana","","COC (Arco)","SP","1.0","",""
"5285520257","COLÉGIO MORAES GUALBERTO","","","Planaltina","","COC (Arco)","GO","1.0","",""
"5285518774","COLÉGIO N. SRA. DE LOURDES","","","Farroupilha","","COC (Arco)","RS","","",""
"5285538214","COLÉGIO MASTER BESSA","","","João Pessoa","","COC (Arco)","PB","1.0","",""
"5285540089","COLÉGIO NAHIM AHMAD","","","Guarulhos","","COC (Arco)","SP","1.0","",""
"5285534736","COLÉGIO NASCIMENTO","","","São Vicente","","COC (Arco)","SP","","",""
"5285615676","COLÉGIO NOSSA SENHORA APARECIDA","","","Santa Maria","","COC (Arco)","DF","","",""
"5285520247","COLÉGIO NOSSA SENHORA DA GLORIA","","","Francisco Beltrão","","COC (Arco)","PR","1.0","",""
"5285540099","COLÉGIO NOSSA SENHORA DAS MERCÊS","","","São Raimundo Nonato","","COC (Arco)","PI","","",""
"5285550538","COLÉGIO NOSSA SENHORA DO CARMO","","","Ituverava","","COC (Arco)","SP","","",""
"5285546873","COLÉGIO NOVA ESTRELA GUIA","","","Itaquera","","COC (Arco)","SP","1.0","",""
"5285627630","COLÉGIO NOVO IDEAL","","","São Paulo","","COC (Arco)","SP","1.0","",""
"5285531186","COLÉGIO NUNILA MACHADO","","","São Miguel dos Campos","","COC (Arco)","AL","1.0","",""
"5285545155","COLÉGIO OLIMPUS","","","Arapongas","","COC (Arco)","PR","1.0","",""
"5285636024","COLÉGIO ÔMEGA","","","Coromandel","","COC (Arco)","MG","","",""
"5285522192","COLÉGIO PALLAS ATHENA","","","Guapiaçu","","COC (Arco)","SP","1.0","",""
"5284588276","COLÉGIO PAULA FRASSINETTI","","","São Sebastião do Paraíso","","COC (Arco)","MG","1.0","",""
"5285548996","COLÉGIO PAULÍNIA","","","Paulínia","","COC (Arco)","SP","","",""
"5285550548","COLÉGIO PEQUENO PRÍNCIPE - EM","","","Taquaritinga","","COC (Arco)","SP","","",""
"5285541974","COLÉGIO FEC","","","Coxim","","COC (Arco)","MS","1.0","",""
"5285552693","COLÉGIO OMEGA GOIÁS","","","Palmeiras de Goiás","","COC (Arco)","GO","","",""
"5285534739","COLÉGIO OPÇÃO","","","Niterói","","COC (Arco)","RJ","","",""
"5285666090","COLEGIO OPCAO","","","Vitória da Conquista","","COC (Arco)","BA","1.0","",""
"5285531182","COLEGIO OPCAO & CONHECIMENTO","","Karen Bustamante","Monte Alto","","COC (Arco)","SP","1.0","",""
"5285636023","COLÉGIO OSVALDO CRUZ","","","Tucuruí","","COC (Arco)","PA","1.0","",""
"5285517343","COLÉGIO PIASO","","","Diadema","","COC (Arco)","SP","1.0","",""
"5285666081","COLÉGIO PLANETA FELIZ","","","Tijucas","","COC (Arco)","SC","1.0","",""
"5285518773","COLÉGIO PLUS COC","","","Barretos","","COC (Arco)","SP","1.0","",""
"5285528545","COLÉGIO POLEGATTO","","","Dumont","","COC (Arco)","SP","1.0","",""
"5285550540","COLÉGIO PORTINARI","","","Lençóis Paulista","","COC (Arco)","SP","1.0","",""
"5285614420","COLEGIO PROBO COC","","Karen Bustamante","Livramento de Nossa Senhora","","COC (Arco)","BA","1.0","",""
"5285629509","COLÉGIO PROFA. YEDA MARIA","","","Guarujá","","COC (Arco)","SP","1.0","",""
"5285517346","COLÉGIO PRÓUNI","","","Campos dos Goytacazes","","COC (Arco)","RJ","1.0","",""
"5285636033","COLÉGIO REFERENCE","","","Laranjeiras do Sul","","COC (Arco)","PR","1.0","",""
"5285520258","COLÉGIO RODIN","","","Indaiatuba","","COC (Arco)","SP","1.0","",""
"5285515704","COLÉGIO SANTA BÁRBARA - UNIDADE III","","","Bragança Paulista","","COC (Arco)","SP","","",""
"5285552690","COLÉGIO SANTA ROSÁLIA","","","Sorocaba","","COC (Arco)","SP","","",""
"5285515706","COLÉGIO SANTA TERESINHA","","","Formiga","","COC (Arco)","MG","2.0","",""
"5285538216","COLÉGIO SANTA TEREZINHA","","","Florianópolis","","COC (Arco)","SC","","",""
"5285533394","COLÉGIO SANTO ANTÔNIO","","","Valparaíso de Goiás","","COC (Arco)","GO","1.0","",""
"5285615673","COC EPITÁCIO","","Victor Hugo Carvalho Cabral dos Santos","Presidente Epitácio","","COC (Arco)","SP","1.0","",""
"5285524196","COC PASSOS","","","Passos","","COC (Arco)","MG","1.0","",""
"5285615669","COLÉGIO JOSÉ ROMÃO","","","Sobral","","COC (Arco)","CE","1.0","",""
"5285522190","COLÉGIO ROSA MÍSTICA","","","Arapiraca","","COC (Arco)","AL","1.0","",""
"5285614423","COLÉGIO SAGRADO CORAÇÃO DE JESUS","","","Araguari","","COC (Arco)","MG","","",""
"5285615670","COLÉGIO SAGRADO CORAÇÃO DE JESUS NOVO HORIZONTE","","","Novo Horizonte","","COC (Arco)","SP","","",""
