,company_id,name,company_domain_name,company_owner,city,telefone,country/region,sistema_de_ensino,state/region,associated_deals,associated_company_id,associated_company
125,5285545152,COLÉGIO DA URCAMP/SG,https://www.urcamp.edu.br/ensino/educacao-basica/colegio-da-urcamp-sao-gabriel,,São Gabriel,-,,COC (Arco),RS,1.0,,
126,5285515717,COLÉGIO DELOS,https://colegiodelos.com/,,Aparecida de Goiânia,(62) 3288-5770,,COC (Arco),GO,1.0,,
127,5285629508,COLÉGIO DELTA,http://deltamuzambinho.com.br/,,Muzambinho,(35) 3571-1747,,COC (Arco),MG,1.0,,
128,5285629514,COLÉGIO DINÂMICO COC SIST.,https://www.coc.com.br/nossas-escolas/colegio-dinamico-coc-sist,,Cruzeiro,(12) 3144-2668,,COC (Arco),SP,1.0,,
129,5285536877,COLÉGIO DIOCESANO,http://colegiodiocesano.com.br/,,Itumbiara,(64) 3431-2643,,COC (Arco),GO,1.0,,
130,5285666084,COLÉGIO EDUCAR ACREÚNA,https://www.facebook.com/educaracreuna/,Karen Bustamante,Acreúna,(64) 3645-1143,,COC (Arco),GO,1.0,,
131,5284588281,COLÉGIO EDUCAR RIO VERDE,https://www.coc.com.br/nossas-escolas/colegio-educar-rio-verde,Karen Bustamante,Rio Verde,(64) 3624-2638,,COC (Arco),GO,1.0,,
132,5285552706,COLÉGIO EDUKANDARIUM MONDINI,https://edukandariummondini.com.br/,Karen Bustamante,São Paulo,(11) 2280-2435,,COC (Arco),SP,1.0,,
133,5285629518,COLÉGIO EDUKANDARIUM MONDINI - UNIDADE I E II,https://edukandariummondini.com.br/,Karen Bustamante,São Paulo,(11) 2280-2435,,COC (Arco),SP,1.0,,
134,5285520259,COLÉGIO ELO,https://colegioelo.com.br/,Karen Bustamante,Recife,(81) 3134-9494,,COC (Arco),PE,1.0,,
135,5285636028,COLÉGIO DIOCESANO LA SALLE,https://lasalle.edu.br/saocarlos,,São Carlos,(16) 2107-5100,,COC (Arco),SP,,,
