,deal_id,deal_name,dominio,telefone,cidade,time_que_vai_atacar/está_atacando_a_lead,sistema_de_ensino,nível_de_crença,qualificação_socioeconômica,dominio_(url_do_site_da_escola),associated_company_id,associated_company
11,1442735627,Colégio Maria Imaculada,https://www.cmirj.com.br/,(21) 2264-4998,Rio de Janeiro,,,E. Orbitando,C/D,,2835386934,Colégio Maria Imaculada
12,1442729048,Colégio Anglo Morumbi,https://colegioanglomorumbi.com.br/,(11) 3740-1000,São Paulo,,,E. Orbitando,A/B,,2834947129,Colégio Anglo Morumbi
13,1442735629,Colégio Presidente Médici,https://pt-br.facebook.com/Medici2014,(85) 3228-2206,Fortaleza,Conquista,,D. Para puxar,Premium,,2835404360,Colégio Presidente Médici
14,4281721135,INSTITUTO EDUCACIONAL NOVO HORIZONTE,https://www.coc.com.br/nossas-escolas/instituto-educacional-novo-horizonte,-,Estreito,,,,,,5285666093,INSTITUTO EDUCACIONAL NOVO HORIZONTE
15,4307719250,URCAMP,https://www.urcamp.tche.br/campus/dom-pedrito,(53) 3243-2446,Dom Pedrito,,,,,,5285518782,URCAMP
16,4281373976,MILÊNIO COC SANTA ROSA,https://www.coc.com.br/nossas-escolas/instituto-educacional-milenio,(16) 3954-2524,Santa Rosa de Viterbo,,,,C/D,,5285629506,MILÊNIO COC SANTA ROSA
17,4164053316,CENTRO EDUCACIONAL EVOLUÇÃO,https://www.coc.com.br/nossas-escolas/centro-educacional-evolucao,(37) 3431-1492,Bambuí,,,,,,5285614433,CENTRO EDUCACIONAL EVOLUÇÃO
18,4164001922,CENTRO EDUCACIONAL FREITAS CAVALCANTI,https://www.informecadastral.com.br/cnpj/centro-educacional-freitas-cavalcanti-ltda-28102797000238,-,Terra Boa,,,,,,5285615680,CENTRO EDUCACIONAL FREITAS CAVALCANTI
19,4164024618,CENTRO EDUCACIONAL MARIA NILZA,https://www.coc.com.br/nossas-escolas/centro-educacional-maria-nilza,(77) 3441-0215,Brumado,,,,C/D,,5285541963,CENTRO EDUCACIONAL MARIA NILZA
20,4125584168,COLÉGIO HONORATO JACQUES,https://funlec.com.br/filiais/honorato-jacques/35,(67) 3255-2222,Bonito,,,,,,5285552699,COLÉGIO HONORATO JACQUES
21,4177267539,COLÉGIO EDUC,https://pt-br.facebook.com/ColegioEduc,(35) 3536-1395,Itaú de Minas,,,,C/D,,5285550547,COLÉGIO EDUC
22,4177189942,COLÉGIO DOM PEDRO,https://www.dompedro.g12.br/,(11) 4137-8206,Taboão da Serra,,,,,,5285536876,COLÉGIO DOM PEDRO
23,4164019177,PROFMIX,https://pt-br.facebook.com/ProfMixEI/,(19) 3895-7843,Socorro,,,,,,5285522182,PROFMIX
24,4163989832,CENTRO EDUCACIONAL JARDIM AMÁLIA,https://www.colegioceja.com.br/,(24) 3342-2713,Volta Redonda,,,,C/D,,5285536872,CENTRO EDUCACIONAL JARDIM AMÁLIA
25,4307175465,COLÉGIO MALTA,https://pt-br.facebook.com/Col%C3%A9gio-Malta-2167564579937444/,(37) 3261-5849,Lagoa da Prata,,,,,,5285515708,COLÉGIO MALTA
26,4274254475,ESCOLA UNIVERSO POLO IPIXUNA,https://consultas.plus/lista-de-empresas/para/ipixuna-do-para/13497820000425-escola-universo-de-paragominas-eireli/,(91) 98727-6299,Ipixuna do Pará,,,,,,5285518769,ESCOLA UNIVERSO POLO IPIXUNA
27,4125744838,COLÉGIO HERMESINDO ALONSO GONZALEZ,https://funlec.com.br/filiais/hermesindo-alonso-gonzales/34,(67) 3524-5494,Três Lagoas,,,,,,5285528543,COLÉGIO HERMESINDO ALONSO GONZALEZ
